"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SORBS3",3.41407424305608e-73,0.552398823771366,0.374,0.132,7.49423437093239e-69,"0","SORBS3"
"UFC1",3.51193775919938e-73,0.311129228553212,0.78,0.435,7.70905457521856e-69,"0","UFC1"
"ACAA2",3.58247058629835e-73,0.442497924407058,0.479,0.198,7.86388118398351e-69,"0","ACAA2"
"MCFD2",3.92415764628916e-73,0.508749140502304,0.518,0.223,8.61391844936934e-69,"0","MCFD2"
"MRPS25",4.06760256899407e-73,0.505277778518419,0.468,0.189,8.92879439919888e-69,"0","MRPS25"
"DCAF10",4.17288704167765e-73,0.821322204230803,0.343,0.117,9.15990434518661e-69,"0","DCAF10"
"SLC25A25",4.21245011879788e-73,0.977663190178935,0.328,0.109,9.24674925577323e-69,"0","SLC25A25"
"RANGRF",4.31393354983654e-73,1.03915573727176,0.273,0.078,9.46951553524618e-69,"0","RANGRF"
"LYRM7",4.37324362577789e-73,0.949854268321171,0.308,0.097,9.59970708294504e-69,"0","LYRM7"
"TP53",4.38791402303194e-73,0.9998323416661,0.298,0.092,9.63191007195742e-69,"0","TP53"
"LINC01138",4.63834115833588e-73,0.926107124482085,0.181,0.031,1.01816226766631e-68,"0","LINC01138"
"SLC30A9",4.79143921416287e-73,0.736892396487022,0.377,0.137,1.05176882190089e-68,"0","SLC30A9"
"MKRN2",5.02100344742795e-73,0.721679322015859,0.331,0.108,1.10216046674491e-68,"0","MKRN2"
"NDUFB10",5.0304704151892e-73,0.361589170217555,0.869,0.527,1.10423856083818e-68,"0","NDUFB10"
"TLCD3A",5.22755138059123e-73,1.40354470091774,0.188,0.035,1.14749980355358e-68,"0","TLCD3A"
"TTC5",5.5927173124347e-73,1.03953593910985,0.238,0.059,1.22765737725254e-68,"0","TTC5"
"CYBRD1",5.66366522813094e-73,0.811885347846597,0.386,0.14,1.24323115422702e-68,"0","CYBRD1"
"GLRX5",5.91065947155799e-73,0.312752312718544,0.68,0.322,1.29744886060169e-68,"0","GLRX5"
"EXOSC5",6.06986347404463e-73,0.537666351759757,0.35,0.122,1.33239573118754e-68,"0","EXOSC5"
"RNF126",6.10934074702747e-73,0.465110001475448,0.57,0.257,1.34106138738e-68,"0","RNF126"
"C1orf131",6.57086520493722e-73,0.833394449086224,0.272,0.077,1.44237062113577e-68,"0","C1orf131"
"SPG7",6.70010213144503e-73,0.271327018341668,0.54,0.233,1.4707394188735e-68,"0","SPG7"
"ORC5",6.75050290747925e-73,1.23237877085558,0.218,0.049,1.48180289322077e-68,"0","ORC5"
"C7orf25",6.81928444760671e-73,0.940813309435939,0.24,0.06,1.49690112909415e-68,"0","C7orf25"
"CBX1",6.83854728010971e-73,0.413216571123071,0.505,0.212,1.50112951345688e-68,"0","CBX1"
"AL590617.2",7.02519726666905e-73,1.36779193827027,0.248,0.067,1.54210105200652e-68,"0","AL590617.2"
"KALRN",7.08511484773582e-73,1.23096106029513,0.183,0.033,1.55525356022649e-68,"0","KALRN"
"MCHR1",7.26483354067072e-73,2.05552551128839,0.159,0.022,1.59470361051263e-68,"0","MCHR1"
"PKN2",7.42358158183454e-73,0.308695128952539,0.516,0.217,1.6295503930285e-68,"0","PKN2"
"MOSMO",7.92222373144337e-73,0.634691819700733,0.375,0.133,1.73900733128913e-68,"0","MOSMO"
"RNF41",8.0121884160212e-73,0.413142556595933,0.378,0.135,1.75875547920081e-68,"0","RNF41"
"KDM3A",8.27696992474768e-73,0.718905383886226,0.37,0.132,1.81687766818136e-68,"0","KDM3A"
"CCDC181",1.08606181412187e-72,1.40280718043826,0.18,0.031,2.38401428817893e-68,"0","CCDC181"
"KDM1A",1.09165928493727e-72,0.4989562880963,0.351,0.121,2.3963012963658e-68,"0","KDM1A"
"URGCP",1.09211372914163e-72,0.747822870801893,0.288,0.085,2.3972988468388e-68,"0","URGCP"
"MRPS27",1.12985914776805e-72,1.06562192475028,0.296,0.09,2.48015381526566e-68,"0","MRPS27"
"SLC2A10",1.22182282520136e-72,2.4402742662602,0.143,0.016,2.6820232835995e-68,"0","SLC2A10"
"COQ10B",1.24566550708015e-72,0.364663196256955,0.577,0.255,2.73436035459163e-68,"0","COQ10B"
"MPG",1.31195622793024e-72,0.31625745759166,0.617,0.286,2.87987511592968e-68,"0","MPG"
"OSR2",1.31730096008272e-72,2.29312089552125,0.155,0.021,2.89160733747758e-68,"0","OSR2"
"ZNF606",1.32573048380063e-72,1.63484072851561,0.18,0.031,2.91011098499076e-68,"0","ZNF606"
"PAPSS1",1.39445824606996e-72,0.369200831837963,0.59,0.268,3.06097529594816e-68,"0","PAPSS1"
"TIMM9",1.59083383906754e-72,0.351574436682687,0.468,0.189,3.49203936013715e-68,"0","TIMM9"
"DUSP11",1.59371909646648e-72,0.729530762568142,0.323,0.106,3.49837278865356e-68,"0","DUSP11"
"ZNF516",1.64692212093172e-72,1.25670511142621,0.219,0.05,3.61515874765722e-68,"0","ZNF516"
"RBM6",1.64723192422924e-72,0.390678128088502,0.575,0.258,3.61583879687561e-68,"0","RBM6"
"ATF7",1.71581634766062e-72,0.603073241293584,0.444,0.175,3.76638846474983e-68,"0","ATF7"
"RXRB",1.82294898602542e-72,0.721473264994861,0.36,0.127,4.0015553192244e-68,"0","RXRB"
"MED9",1.88055176760271e-72,0.927375324984764,0.217,0.048,4.12799918506471e-68,"0","MED9"
"IRF2BP1",1.95086872053551e-72,1.00269647154376,0.262,0.072,4.2823519284475e-68,"0","IRF2BP1"
"GPT",2.0239539455397e-72,3.28183124306018,0.116,0.006,4.4427813058542e-68,"0","GPT"
"ATL1",2.06023417830765e-72,0.606847762347383,0.345,0.115,4.52242004480312e-68,"0","ATL1"
"SOS1",2.08572477014914e-72,0.523392297546173,0.4,0.149,4.57837444295437e-68,"0","SOS1"
"DNAH9",2.1919055735577e-72,1.75722150335953,0.153,0.02,4.81145192451652e-68,"0","DNAH9"
"LRRC58",2.21878901337858e-72,0.549791797346113,0.514,0.222,4.87046376326732e-68,"0","LRRC58"
"MARCH9",2.3342254076436e-72,0.912015874355809,0.294,0.089,5.12385819231848e-68,"0","MARCH9"
"PLIN3",2.56634054838819e-72,0.400131256919747,0.735,0.392,5.63337413776692e-68,"0","PLIN3"
"PSEN2",2.67527741217675e-72,1.17796371925314,0.199,0.039,5.87250144746919e-68,"0","PSEN2"
"BX470102.2",2.78192846408943e-72,1.85353535882646,0.135,0.013,6.10661117152271e-68,"0","BX470102.2"
"TMUB1",2.92150028897895e-72,0.367029708477081,0.586,0.262,6.4129852843377e-68,"0","TMUB1"
"CIAO3",3.1440288075927e-72,0.713061005538537,0.332,0.11,6.90145763554673e-68,"0","CIAO3"
"AP5M1",3.51801050343052e-72,0.581116340393218,0.392,0.144,7.72238485608034e-68,"0","AP5M1"
"MRPS18C",3.68334670688851e-72,0.347792552448321,0.624,0.293,8.08531435629098e-68,"0","MRPS18C"
"ATL3",3.77586362922544e-72,0.499685424187435,0.499,0.21,8.28839825251277e-68,"0","ATL3"
"PPAT",3.92302045442108e-72,1.04112900053711,0.296,0.091,8.6114221994997e-68,"0","PPAT"
"PFDN4",4.03470649019533e-72,0.264356924889823,0.511,0.217,8.85658421662777e-68,"0","PFDN4"
"KBTBD7",4.06866325093387e-72,1.10396639614767,0.276,0.08,8.93112270212494e-68,"0","KBTBD7"
"ABCA3",4.13120236287033e-72,0.923336495649647,0.297,0.09,9.06840230673666e-68,"0","ABCA3"
"RIPOR3",4.18298043107609e-72,1.95894134772435,0.143,0.016,9.18206034425512e-68,"0","RIPOR3"
"SRP72",4.6934115533344e-72,0.331132200094585,0.673,0.32,1.03025077007243e-67,"0","SRP72"
"SELENBP1",4.88234851298319e-72,1.500575920957,0.195,0.039,1.07172432208494e-67,"0","SELENBP1"
"STOML1",4.99669531280045e-72,0.674443438410361,0.36,0.124,1.09682458811283e-67,"0","STOML1"
"MAPK8IP2",5.02296189955254e-72,1.30312007699879,0.206,0.044,1.10259036657078e-67,"0","MAPK8IP2"
"C2orf80",5.79035379865074e-72,0.985639080172098,0.254,0.068,1.27104056234182e-67,"0","C2orf80"
"MTHFD1",6.04572873126849e-72,0.810504058814643,0.301,0.093,1.32709791380075e-67,"0","MTHFD1"
"NUDT12",6.17814034069498e-72,1.0445693463397,0.254,0.068,1.35616358618596e-67,"0","NUDT12"
"GPN1",6.45700377409779e-72,0.557701075458567,0.399,0.15,1.41737689845221e-67,"0","GPN1"
"PRXL2B",6.56047757653503e-72,1.17524940763715,0.21,0.047,1.4400904328252e-67,"0","PRXL2B"
"DHX30",6.61998360149854e-72,0.58943895772348,0.439,0.174,1.45315260036494e-67,"0","DHX30"
"VDAC3",6.86301992837471e-72,0.333375974122808,0.721,0.356,1.50650150447753e-67,"0","VDAC3"
"RRS1",7.11698365884059e-72,1.05333827061093,0.229,0.056,1.5622490829521e-67,"0","RRS1"
"NEDD8",7.65164507130199e-72,0.337862468552083,0.926,0.652,1.6796126096015e-67,"0","NEDD8"
"ERI1",7.70937430258092e-72,0.765251719937251,0.35,0.123,1.69228475315954e-67,"0","ERI1"
"LRCH3",7.91193033378392e-72,0.875462988605062,0.327,0.11,1.73674782756891e-67,"0","LRCH3"
"GNB4",7.92598492036034e-72,0.650191844588984,0.506,0.227,1.7398329498683e-67,"0","GNB4"
"EXD2",8.56831395766419e-72,0.757206080680169,0.289,0.085,1.88083059684687e-67,"0","EXD2"
"CUL1",8.96090275008289e-72,0.53129385989382,0.414,0.158,1.96700776267069e-67,"0","CUL1"
"RBMX2",9.13684375132785e-72,0.634518972650997,0.347,0.119,2.00562857185398e-67,"0","RBMX2"
"U2SURP",9.28919323540852e-72,0.335635832918958,0.67,0.322,2.03907080710452e-67,"0","U2SURP"
"PHKB",9.82540280677594e-72,0.419264434016216,0.444,0.177,2.15677417011539e-67,"0","PHKB"
"CDYL",1.03908263432197e-71,0.7977485821797,0.326,0.108,2.28089029060016e-67,"0","CDYL"
"ZNF347",1.05117370558167e-71,1.41786405588059,0.21,0.046,2.30743140112233e-67,"0","ZNF347"
"FDPS",1.07851126906962e-71,0.336122825841909,0.641,0.302,2.36744008673472e-67,"0","FDPS"
"FAM104B",1.14970155851672e-71,0.613109026531431,0.305,0.096,2.52370989110006e-67,"0","FAM104B"
"WARS",1.18470506529859e-71,0.530909340626826,0.445,0.182,2.60054608883694e-67,"0","WARS"
"B4GALT4",1.24162190392735e-71,0.490587582075751,0.366,0.13,2.72548424131093e-67,"0","B4GALT4"
